factor,slider.response,my_rs,difference
standard_plot,0.008333347,0.3975,0.389166653
standard_plot,0.494444459,0.864318182,0.369873723
size_manipulated,0.43240745,0.612954545,0.180547095
standard_plot,0.40370369,0.684772727,0.281069037
size_manipulated,0.547222208,0.756590909,0.20936870100000005
standard_plot,0.130555577,0.648863636,0.518308059
size_manipulated,0.40370369,0.630909091,0.22720540100000003
standard_plot,0.123148141,0.559090909,0.435942768
size_manipulated,0.851851852,0.918181818,0.06632996599999996
size_manipulated,0.919444473,0.972045455,0.05260098199999996
standard_plot,0.272222236,0.612954545,0.340732309
size_manipulated,0.750925912,0.900227273,0.14930136100000002
size_manipulated,0.233333376,0.541136364,0.30780298799999994
standard_plot,0.113888882,0.217954545,0.104065663
standard_plot,0.233333376,0.774545455,0.541212079
size_manipulated,0.758333347,0.954090909,0.19575756200000005
standard_plot,0.125,0.343636364,0.21863636400000003
standard_plot,0.567592621,0.972045455,0.404452834
standard_plot,0.185185185,0.469318182,0.28413299699999994
size_manipulated,0.785185213,0.846363636,0.06117842299999998
size_manipulated,0.607407393,0.559090909,-0.04831648399999999
size_manipulated,0.92314812,0.99,0.06685187999999997
standard_plot,0.852777834,0.936136364,0.08335853000000004
size_manipulated,0.292592578,0.469318182,0.17672560399999998
standard_plot,0.535185213,0.954090909,0.4189056960000001
standard_plot,0.10555557,0.271818182,0.16626261200000003
standard_plot,0.059259273,0.379545455,0.320286182
standard_plot,0.148148148,0.630909091,0.48276094300000005
standard_plot,0.050000014,0.289772727,0.239772713
size_manipulated,0.236111111,0.379545455,0.14343434399999996
standard_plot,0.290740755,0.720681818,0.429941063
standard_plot,0.10833334,0.307727273,0.199393933
standard_plot,0.027777778,0.253863636,0.226085858
standard_plot,0.043518526,0.487272727,0.443754201
standard_plot,0.909259231,0.99,0.08074076900000005
size_manipulated,0.169444437,0.3975,0.228055563
size_manipulated,0.548148191,0.648863636,0.10071544499999996
size_manipulated,0.311111097,0.361590909,0.05047981200000001
size_manipulated,0.659259302,0.936136364,0.27687706199999995
size_manipulated,0.244444459,0.433409091,0.188964632
standard_plot,0.39907406,0.918181818,0.519107758
size_manipulated,0.289814843,0.307727273,0.01791243000000003
standard_plot,0.345370399,0.828409091,0.4830386920000001
size_manipulated,0.72592594,0.720681818,-0.00524412200000001
standard_plot,0.47129631,0.900227273,0.42893096300000005
size_manipulated,0.681481467,0.828409091,0.14692762400000003
size_manipulated,0.481481481,0.595,0.11351851899999998
size_manipulated,0.13703703,0.2,0.06296297000000001
standard_plot,0.232407393,0.7925,0.560092607
size_manipulated,0.12962963,0.415454545,0.285824915
standard_plot,0.193518533,0.505227273,0.31170874000000004
standard_plot,0.349074116,0.738636364,0.389562248
standard_plot,0.35555557,0.756590909,0.4010353390000001
size_manipulated,0.348148134,0.577045455,0.22889732100000004
size_manipulated,0.501851894,0.738636364,0.23678447
standard_plot,0.163888896,0.433409091,0.269520195
standard_plot,0.102777799,0.451363636,0.348585837
size_manipulated,0.199074074,0.451363636,0.252289562
standard_plot,0.187962956,0.541136364,0.35317340799999997
standard_plot,0.149074095,0.702727273,0.553653178
standard_plot,0.125925947,0.2,0.074074053
standard_plot,0.374074088,0.810454545,0.436380457
standard_plot,0.11296297,0.235909091,0.122946121
size_manipulated,0.164814808,0.289772727,0.124957919
standard_plot,0.551111111,0.684772727,0.13366161600000004
size_manipulated,0.783333333,0.864318182,0.08098484900000003
standard_plot,0.278888889,0.379545455,0.100656566
size_manipulated,0.906666667,0.936136364,0.02946969700000001
standard_plot,0.376666667,0.505227273,0.12856060600000002
standard_plot,0.36,0.648863636,0.288863636
size_manipulated,0.575555556,0.379545455,-0.196010101
standard_plot,0.331111111,0.541136364,0.21002525299999997
standard_plot,0.394444444,0.289772727,-0.104671717
standard_plot,0.44,0.361590909,-0.07840909099999999
size_manipulated,0.588888889,0.361590909,-0.22729798
size_manipulated,0.79,0.630909091,-0.159090909
size_manipulated,0.906666667,0.828409091,-0.07825757599999994
size_manipulated,0.453333333,0.343636364,-0.10969696899999998
standard_plot,0.797777778,0.918181818,0.12040403999999992
standard_plot,0.957777778,0.99,0.03222222200000002
standard_plot,0.932222222,0.972045455,0.0398232329999999
size_manipulated,0.584444444,0.648863636,0.06441919200000001
standard_plot,0.356666667,0.612954545,0.256287878
standard_plot,0.637777778,0.774545455,0.13676767700000003
standard_plot,0.374444444,0.559090909,0.18464646500000004
size_manipulated,0.381111111,0.415454545,0.034343434
size_manipulated,0.328888889,0.253863636,-0.07502525300000001
size_manipulated,0.661111111,0.505227273,-0.15588383799999994
